class,comfort_level,correct
0,451,False
0,426,True
0,411,False
0,448,False
0,432,False
0,446,False
0,449,False
0,457,False
0,485,False
0,427,False
0,371,False
0,473,False
0,415,False
0,482,False
0,446,False
0,361,False
0,439,False
0,455,False
0,412,False
0,463,False
0,434,False
0,406,False
0,423,False
0,417,False
0,490,False
0,431,False
0,480,False
0,470,False
0,449,False
0,450,False
0,463,False
0,240,False
0,394,False
0,434,False
0,423,False
0,420,False
0,469,False
0,474,False
0,463,False
0,465,False
0,374,False
0,441,False
0,408,False
0,441,False
0,391,False
0,430,False
0,431,False
0,392,False
0,424,False
0,465,False
0,431,False
0,325,False
0,401,False
0,432,False
0,410,False
0,431,False
0,446,False
0,421,False
0,432,False
0,409,False
0,392,False
0,390,False
0,467,False
0,425,False
0,397,False
0,391,False
0,415,False
0,436,False
0,391,False
0,435,False
0,406,False
0,443,False
0,406,False
0,454,False
0,442,False
0,456,False
0,414,False
0,453,False
0,450,False
0,427,True
0,396,False
0,415,False
0,430,False
0,473,False
0,460,False
0,448,False
0,476,False
0,410,False
0,434,False
0,423,False
0,448,False
0,441,False
0,449,False
0,461,False
0,381,False
0,442,False
0,433,False
0,492,False
0,475,False
0,435,False
0,399,False
0,388,False
0,431,False
0,406,False
0,408,False
0,439,False
0,470,False
0,366,False
0,358,False
0,432,False
0,454,False
0,441,False
0,413,False
0,455,False
0,415,False
0,470,False
0,415,False
0,451,False
0,485,False
0,399,False
0,351,False
0,448,False
0,435,False
0,526,False
0,382,False
0,450,False
0,427,False
0,441,False
0,436,False
0,379,False
0,477,False
0,421,False
0,454,False
0,417,False
0,421,False
0,351,False
0,457,False
0,432,False
0,393,False
0,374,False
0,327,False
0,427,False
0,452,False
0,408,False
0,444,False
0,396,False
0,472,False
0,438,False
0,447,False
0,477,False
0,444,False
0,387,False
0,457,False
0,406,False
0,460,False
0,456,False
0,411,False
0,477,False
0,412,False
0,368,False
0,416,False
0,399,True
0,468,False
0,462,False
0,391,False
0,360,False
0,466,False
0,438,False
0,397,False
0,403,False
0,396,False
0,284,False
0,374,False
0,431,False
0,432,False
0,388,False
0,441,False
0,429,False
0,382,False
0,409,False
0,331,False
0,234,False
0,407,False
0,412,False
0,415,False
0,458,False
0,386,False
0,454,False
0,474,False
0,451,False
0,417,False
0,411,False
0,411,False
0,389,False
0,429,False
0,400,False
0,429,False
0,468,False
0,392,False
0,456,False
0,373,False
0,466,False
0,474,False
0,418,False
0,432,False
0,467,False
0,452,False
0,403,False
0,421,False
0,448,False
0,447,False
0,411,False
0,406,False
0,446,False
0,367,False
0,462,False
0,373,False
0,432,False
0,427,False
0,400,False
0,473,False
0,457,False
0,455,False
0,422,False
0,446,False
0,472,False
0,443,False
0,398,False
0,427,False
0,389,False
0,471,False
0,435,False
0,440,False
0,403,False
0,442,False
0,447,False
0,411,False
0,397,False
0,411,False
0,455,False
0,463,False
0,379,False
0,414,False
0,412,False
0,391,False
0,457,False
0,436,False
0,478,False
0,429,False
0,473,False
0,411,False
0,428,False
0,458,False
0,442,False
0,382,False
0,442,False
0,439,False
0,441,False
0,272,False
0,430,False
0,437,False
0,443,False
0,434,False
0,419,False
0,432,False
0,376,False
0,449,False
0,407,False
0,433,False
0,468,False
0,436,False
0,442,False
0,409,False
0,415,False
0,430,False
0,443,False
0,478,False
0,430,False
0,471,False
0,441,False
0,434,False
0,424,True
0,477,False
0,401,False
0,464,False
0,429,False
0,447,False
0,435,False
0,360,True
0,435,False
0,426,False
0,437,False
0,424,False
0,468,False
0,440,False
0,370,False
0,470,False
0,462,False
0,433,False
0,424,False
0,360,False
0,370,False
0,420,False
0,467,False
0,491,False
0,399,False
0,445,False
0,465,False
0,442,False
0,385,False
0,399,False
0,467,False
0,478,False
0,385,False
0,437,False
0,443,False
0,408,False
0,397,False
0,425,False
0,443,False
0,413,False
0,459,False
0,428,False
0,425,False
0,435,False
0,415,True
0,400,False
0,462,False
0,438,False
0,447,False
0,432,False
0,422,False
0,431,False
0,489,False
0,433,False
0,466,False
0,409,False
0,400,False
0,442,False
0,447,False
